"check","msg","group","dataset_id","contributor"
"NA terms","NA in: K_fertilizer, P_fertilizer, N_fertilizer","agronomy","doi_10.7910_DVN_0DRM60","Robert Hijmans"
"all uppercase","names in uppercase: site","agronomy","doi_10.7910_DVN_0DRM60","Robert Hijmans"
"NA terms","NA in: yield, K_fertilizer, P_fertilizer, N_fertilizer","agronomy","doi_10.7910_DVN_1UP63T","Robert Hijmans"
"all uppercase","names in uppercase: site","agronomy","doi_10.7910_DVN_1UP63T","Robert Hijmans"
"NA terms","NA in: yield, K_fertilizer, P_fertilizer, N_fertilizer","agronomy","doi_10.7910_DVN_26V1HS","Robert Hijmans"
"all uppercase","names in uppercase: site","agronomy","doi_10.7910_DVN_26V1HS","Robert Hijmans"
"NA terms","NA in: yield, K_fertilizer, P_fertilizer, N_fertilizer","agronomy","doi_10.7910_DVN_3HULF7","Robert Hijmans"
"all uppercase","names in uppercase: site","agronomy","doi_10.7910_DVN_3HULF7","Robert Hijmans"
"NA terms","NA in: K_fertilizer, P_fertilizer, N_fertilizer","agronomy","doi_10.7910_DVN_5LRABO","Robert Hijmans"
"all uppercase","names in uppercase: site","agronomy","doi_10.7910_DVN_5LRABO","Robert Hijmans"
"NA terms","NA in: K_fertilizer, P_fertilizer, N_fertilizer","agronomy","doi_10.7910_DVN_5YCC3C","Robert Hijmans"
"all uppercase","names in uppercase: site","agronomy","doi_10.7910_DVN_5YCC3C","Robert Hijmans"
"NA terms","NA in: yield, K_fertilizer, P_fertilizer, N_fertilizer","agronomy","doi_10.7910_DVN_75MPJJ","Robert Hijmans"
"all uppercase","names in uppercase: site","agronomy","doi_10.7910_DVN_75MPJJ","Robert Hijmans"
"NA terms","NA in: K_fertilizer, P_fertilizer, N_fertilizer","agronomy","doi_10.7910_DVN_7CIDYV","Robert Hijmans"
"all uppercase","names in uppercase: site","agronomy","doi_10.7910_DVN_7CIDYV","Robert Hijmans"
"NA terms","NA in: K_fertilizer, P_fertilizer, N_fertilizer","agronomy","doi_10.7910_DVN_8G1DFQ","Robert Hijmans"
"all uppercase","names in uppercase: site","agronomy","doi_10.7910_DVN_8G1DFQ","Robert Hijmans"
"NA terms","NA in: K_fertilizer, P_fertilizer, N_fertilizer","agronomy","doi_10.7910_DVN_8R7D8R","Robert Hijmans"
"all uppercase","names in uppercase: site","agronomy","doi_10.7910_DVN_8R7D8R","Robert Hijmans"
"NA terms","NA in: K_fertilizer, P_fertilizer, N_fertilizer","agronomy","doi_10.7910_DVN_8YHLBG","Robert Hijmans"
"all uppercase","names in uppercase: site","agronomy","doi_10.7910_DVN_8YHLBG","Robert Hijmans"
"NA terms","NA in: K_fertilizer, P_fertilizer, N_fertilizer","agronomy","doi_10.7910_DVN_AF00KH","Robert Hijmans"
"all uppercase","names in uppercase: site","agronomy","doi_10.7910_DVN_AF00KH","Robert Hijmans"
"NA terms","NA in: yield, K_fertilizer, P_fertilizer, N_fertilizer","agronomy","doi_10.7910_DVN_AKRLF4","Robert Hijmans"
"all uppercase","names in uppercase: site","agronomy","doi_10.7910_DVN_AKRLF4","Robert Hijmans"
"NA terms","NA in: K_fertilizer, P_fertilizer, N_fertilizer","agronomy","doi_10.7910_DVN_CDM9YD","Robert Hijmans"
"all uppercase","names in uppercase: site","agronomy","doi_10.7910_DVN_CDM9YD","Robert Hijmans"
"NA terms","NA in: K_fertilizer, P_fertilizer, N_fertilizer","agronomy","doi_10.7910_DVN_DBPKF6","Robert Hijmans"
"all uppercase","names in uppercase: site","agronomy","doi_10.7910_DVN_DBPKF6","Robert Hijmans"
"NA terms","NA in: K_fertilizer, P_fertilizer, N_fertilizer","agronomy","doi_10.7910_DVN_DRTSUI","Robert Hijmans"
"all uppercase","names in uppercase: site","agronomy","doi_10.7910_DVN_DRTSUI","Robert Hijmans"
"NA terms","NA in: yield, K_fertilizer, P_fertilizer, N_fertilizer","agronomy","doi_10.7910_DVN_ECKKQO","Robert Hijmans"
"all uppercase","names in uppercase: site","agronomy","doi_10.7910_DVN_ECKKQO","Robert Hijmans"
"NA terms","NA in: K_fertilizer, P_fertilizer, N_fertilizer","agronomy","doi_10.7910_DVN_EFCTZR","Robert Hijmans"
"all uppercase","names in uppercase: site","agronomy","doi_10.7910_DVN_EFCTZR","Robert Hijmans"
"NA terms","NA in: K_fertilizer, P_fertilizer, N_fertilizer","agronomy","doi_10.7910_DVN_EOLTRT","Robert Hijmans"
"all uppercase","names in uppercase: site","agronomy","doi_10.7910_DVN_EOLTRT","Robert Hijmans"
"NA terms","NA in: K_fertilizer, P_fertilizer, N_fertilizer","agronomy","doi_10.7910_DVN_EQUNHF","Robert Hijmans"
"all uppercase","names in uppercase: site","agronomy","doi_10.7910_DVN_EQUNHF","Robert Hijmans"
"NA terms","NA in: K_fertilizer, P_fertilizer, N_fertilizer","agronomy","doi_10.7910_DVN_F7YC0E","Robert Hijmans"
"all uppercase","names in uppercase: site","agronomy","doi_10.7910_DVN_F7YC0E","Robert Hijmans"
"NA terms","NA in: K_fertilizer, P_fertilizer, N_fertilizer","agronomy","doi_10.7910_DVN_F9DFPD","Robert Hijmans"
"all uppercase","names in uppercase: site","agronomy","doi_10.7910_DVN_F9DFPD","Robert Hijmans"
"NA terms","NA in: yield, K_fertilizer, P_fertilizer, N_fertilizer","agronomy","doi_10.7910_DVN_GANORJ","Robert Hijmans"
"all uppercase","names in uppercase: site","agronomy","doi_10.7910_DVN_GANORJ","Robert Hijmans"
"NA terms","NA in: yield, K_fertilizer, P_fertilizer, N_fertilizer","agronomy","doi_10.7910_DVN_GK6J36","Robert Hijmans"
"all uppercase","names in uppercase: site","agronomy","doi_10.7910_DVN_GK6J36","Robert Hijmans"
"NA terms","NA in: yield, K_fertilizer, P_fertilizer, N_fertilizer","agronomy","doi_10.7910_DVN_GX0J15","Robert Hijmans"
"all uppercase","names in uppercase: site","agronomy","doi_10.7910_DVN_GX0J15","Robert Hijmans"
"NA terms","NA in: K_fertilizer, P_fertilizer, N_fertilizer","agronomy","doi_10.7910_DVN_JPVKRX","Robert Hijmans"
"all uppercase","names in uppercase: site","agronomy","doi_10.7910_DVN_JPVKRX","Robert Hijmans"
"NA terms","NA in: yield, K_fertilizer, P_fertilizer, N_fertilizer","agronomy","doi_10.7910_DVN_LBXNBQ","Robert Hijmans"
"all uppercase","names in uppercase: site","agronomy","doi_10.7910_DVN_LBXNBQ","Robert Hijmans"
"NA terms","NA in: yield, K_fertilizer, P_fertilizer, N_fertilizer","agronomy","doi_10.7910_DVN_MIIGR1","Robert Hijmans"
"all uppercase","names in uppercase: site","agronomy","doi_10.7910_DVN_MIIGR1","Robert Hijmans"
"NA terms","NA in: yield, K_fertilizer, P_fertilizer, N_fertilizer","agronomy","doi_10.7910_DVN_MLHX7H","Robert Hijmans"
"all uppercase","names in uppercase: site","agronomy","doi_10.7910_DVN_MLHX7H","Robert Hijmans"
"NA terms","NA in: yield, K_fertilizer, P_fertilizer, N_fertilizer","agronomy","doi_10.7910_DVN_NAUAPA","Robert Hijmans"
"all uppercase","names in uppercase: site","agronomy","doi_10.7910_DVN_NAUAPA","Robert Hijmans"
"NA terms","NA in: K_fertilizer, P_fertilizer, N_fertilizer","agronomy","doi_10.7910_DVN_NENY5L","Robert Hijmans"
"all uppercase","names in uppercase: site","agronomy","doi_10.7910_DVN_NENY5L","Robert Hijmans"
"NA terms","NA in: K_fertilizer, P_fertilizer, N_fertilizer","agronomy","doi_10.7910_DVN_O9QTTL","Robert Hijmans"
"all uppercase","names in uppercase: site","agronomy","doi_10.7910_DVN_O9QTTL","Robert Hijmans"
"NA terms","NA in: K_fertilizer, P_fertilizer, N_fertilizer","agronomy","doi_10.7910_DVN_PL9FHO","Robert Hijmans"
"all uppercase","names in uppercase: site","agronomy","doi_10.7910_DVN_PL9FHO","Robert Hijmans"
"NA terms","NA in: K_fertilizer, P_fertilizer, N_fertilizer","agronomy","doi_10.7910_DVN_QYY2JY","Robert Hijmans"
"all uppercase","names in uppercase: site","agronomy","doi_10.7910_DVN_QYY2JY","Robert Hijmans"
"NA terms","NA in: K_fertilizer, P_fertilizer, N_fertilizer","agronomy","doi_10.7910_DVN_RG78QM","Robert Hijmans"
"all uppercase","names in uppercase: site","agronomy","doi_10.7910_DVN_RG78QM","Robert Hijmans"
"NA terms","NA in: yield, K_fertilizer, P_fertilizer, N_fertilizer","agronomy","doi_10.7910_DVN_SGNHNA","Robert Hijmans"
"all uppercase","names in uppercase: site","agronomy","doi_10.7910_DVN_SGNHNA","Robert Hijmans"
"NA terms","NA in: K_fertilizer, P_fertilizer, N_fertilizer","agronomy","doi_10.7910_DVN_SVQ1XQ","Robert Hijmans"
"all uppercase","names in uppercase: site","agronomy","doi_10.7910_DVN_SVQ1XQ","Robert Hijmans"
"NA terms","NA in: yield, K_fertilizer, P_fertilizer, N_fertilizer","agronomy","doi_10.7910_DVN_TRII7V","Robert Hijmans"
"all uppercase","names in uppercase: site","agronomy","doi_10.7910_DVN_TRII7V","Robert Hijmans"
"NA terms","NA in: yield, K_fertilizer, P_fertilizer, N_fertilizer","agronomy","doi_10.7910_DVN_TV90PW","Robert Hijmans"
"all uppercase","names in uppercase: site","agronomy","doi_10.7910_DVN_TV90PW","Robert Hijmans"
"NA terms","NA in: yield, K_fertilizer, P_fertilizer, N_fertilizer","agronomy","doi_10.7910_DVN_TWMICE","Robert Hijmans"
"all uppercase","names in uppercase: site","agronomy","doi_10.7910_DVN_TWMICE","Robert Hijmans"
"NA terms","NA in: yield, K_fertilizer, P_fertilizer, N_fertilizer","agronomy","doi_10.7910_DVN_UMYOUM","Robert Hijmans"
"all uppercase","names in uppercase: site","agronomy","doi_10.7910_DVN_UMYOUM","Robert Hijmans"
"NA terms","NA in: K_fertilizer, P_fertilizer, N_fertilizer","agronomy","doi_10.7910_DVN_UZQBGX","Robert Hijmans"
"all uppercase","names in uppercase: site","agronomy","doi_10.7910_DVN_UZQBGX","Robert Hijmans"
"NA terms","NA in: yield, K_fertilizer, P_fertilizer, N_fertilizer","agronomy","doi_10.7910_DVN_VNZJ5I","Robert Hijmans"
"all uppercase","names in uppercase: site","agronomy","doi_10.7910_DVN_VNZJ5I","Robert Hijmans"
"NA terms","NA in: K_fertilizer, P_fertilizer, N_fertilizer","agronomy","doi_10.7910_DVN_W2H2SL","Robert Hijmans"
"all uppercase","names in uppercase: site","agronomy","doi_10.7910_DVN_W2H2SL","Robert Hijmans"
"NA terms","NA in: K_fertilizer, P_fertilizer, N_fertilizer","agronomy","doi_10.7910_DVN_W3L3BL","Robert Hijmans"
"all uppercase","names in uppercase: site","agronomy","doi_10.7910_DVN_W3L3BL","Robert Hijmans"
"NA terms","NA in: yield, K_fertilizer, P_fertilizer, N_fertilizer","agronomy","doi_10.7910_DVN_WORMEW","Robert Hijmans"
"all uppercase","names in uppercase: site","agronomy","doi_10.7910_DVN_WORMEW","Robert Hijmans"
"NA terms","NA in: K_fertilizer, P_fertilizer, N_fertilizer","agronomy","doi_10.7910_DVN_WYCUMH","Robert Hijmans"
"all uppercase","names in uppercase: site","agronomy","doi_10.7910_DVN_WYCUMH","Robert Hijmans"
"NA terms","NA in: yield, K_fertilizer, P_fertilizer, N_fertilizer","agronomy","doi_10.7910_DVN_X3MA2Z","Robert Hijmans"
"all uppercase","names in uppercase: site","agronomy","doi_10.7910_DVN_X3MA2Z","Robert Hijmans"
"NA terms","NA in: K_fertilizer, P_fertilizer, N_fertilizer","agronomy","doi_10.7910_DVN_XA7ORX","Robert Hijmans"
"all uppercase","names in uppercase: site","agronomy","doi_10.7910_DVN_XA7ORX","Robert Hijmans"
"NA terms","NA in: K_fertilizer, P_fertilizer, N_fertilizer","agronomy","doi_10.7910_DVN_ZRZUUJ","Robert Hijmans"
"all uppercase","names in uppercase: site","agronomy","doi_10.7910_DVN_ZRZUUJ","Robert Hijmans"
